algo=mappo | actors=1 | obs_dim=31 | state_dim=91 | agents=10
Update    1/200 | reward=-4599.019 | best=-4599.019 | collisions= 12.50 | arrived= 0.00 | critic=116677.953 | policy_loss=  0.055 | entropy= -0.365
Update   20/200 | reward=-3925.683 | best=-3463.795 | collisions= 39.50 | arrived= 0.03 | critic=83136.461 | policy_loss= -0.201 | entropy= -0.349
Update   40/200 | reward=-1768.117 | best=-1470.616 | collisions= 21.25 | arrived= 0.65 | critic=31546.320 | policy_loss=  0.042 | entropy= -0.359
Update   60/200 | reward= -475.041 | best= -475.041 | collisions= 34.25 | arrived= 0.92 | critic=4342.395 | policy_loss=  0.078 | entropy= -0.397
Update   80/200 | reward=  565.546 | best=  672.984 | collisions=122.50 | arrived= 1.00 | critic=1515.371 | policy_loss= -0.004 | entropy= -0.407
Update  100/200 | reward=  880.694 | best=  912.949 | collisions=129.00 | arrived= 1.00 | critic= 287.281 | policy_loss=  0.082 | entropy= -0.478
Update  120/200 | reward=  939.731 | best=  948.455 | collisions=104.50 | arrived= 1.00 | critic=  94.983 | policy_loss=  0.082 | entropy= -0.575
Update  140/200 | reward=  958.865 | best=  958.870 | collisions=169.50 | arrived= 1.00 | critic=  50.861 | policy_loss=  0.039 | entropy= -0.647
Update  160/200 | reward=  948.181 | best=  961.491 | collisions=156.50 | arrived= 1.00 | critic=  29.217 | policy_loss= -0.002 | entropy= -0.771
Update  180/200 | reward=  959.838 | best=  967.981 | collisions=146.50 | arrived= 1.00 | critic=  21.291 | policy_loss=  0.161 | entropy= -0.834
Update  200/200 | reward=  961.954 | best=  967.981 | collisions= 87.00 | arrived= 1.00 | critic=  18.342 | policy_loss=  0.166 | entropy= -0.948
Saved mappo policy to Baselines\checkpoints\mappo_policy_seed4.pt
