Using robust utility params from C:\Users\Pedram\NR-MAP\Calibration\utility_calibration.json
Behavioral data term: band=0.10, shaping=0.50
Utility-only baseline metric over 5 episodes: 2.000
Update    1/400 | metric=   2.977 | best=   2.977 | collisions= 0.12 | realism=0.799 | loss=2591.864 | entropy= 2.199
Update   10/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.830 | loss=2966.247 | entropy= 2.748
Update   20/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.814 | loss=2265.306 | entropy= 2.957
Update   30/400 | metric=   7.139 | best=   0.000 | collisions= 0.62 | realism=0.824 | loss=2249.164 | entropy= 3.228
Update   40/400 | metric=   4.203 | best=   0.000 | collisions= 0.00 | realism=0.785 | loss=1824.776 | entropy= 3.447
Update   50/400 | metric=  22.821 | best=   0.000 | collisions= 2.12 | realism=0.838 | loss=1242.238 | entropy= 3.747
Update   60/400 | metric=   6.118 | best=   0.000 | collisions= 0.50 | realism=0.785 | loss=1007.113 | entropy= 3.931
Update   70/400 | metric=  22.500 | best=   0.000 | collisions= 2.25 | realism=0.825 | loss=1139.785 | entropy= 4.144
Update   80/400 | metric=  23.750 | best=   0.000 | collisions= 2.38 | realism=0.816 | loss=1492.162 | entropy= 4.388
Update   90/400 | metric=  45.403 | best=   0.000 | collisions= 4.38 | realism=0.848 | loss=1119.806 | entropy= 4.636
Update  100/400 | metric=   3.599 | best=   0.000 | collisions= 0.25 | realism=0.780 | loss= 964.488 | entropy= 4.835
Update  110/400 | metric=  21.644 | best=   0.000 | collisions= 1.38 | realism=0.804 | loss=1197.639 | entropy= 5.056
Update  120/400 | metric=  11.250 | best=   0.000 | collisions= 1.12 | realism=0.778 | loss= 974.228 | entropy= 5.301
Update  130/400 | metric= 113.724 | best=   0.000 | collisions= 3.00 | realism=0.837 | loss= 830.633 | entropy= 5.597
Update  140/400 | metric=  20.973 | best=   0.000 | collisions= 1.88 | realism=0.821 | loss= 511.642 | entropy= 5.891
Update  150/400 | metric= 260.087 | best=   0.000 | collisions= 1.50 | realism=0.902 | loss=1006.016 | entropy= 6.166
Update  160/400 | metric=  22.065 | best=   0.000 | collisions= 1.88 | realism=0.813 | loss= 402.304 | entropy= 6.418
Update  170/400 | metric=  64.138 | best=   0.000 | collisions= 0.50 | realism=0.761 | loss=1000.921 | entropy= 6.734
Update  180/400 | metric= 157.093 | best=   0.000 | collisions= 1.38 | realism=0.826 | loss= 967.499 | entropy= 6.908
Update  190/400 | metric=  72.845 | best=   0.000 | collisions= 1.25 | realism=0.890 | loss= 857.602 | entropy= 7.066
Update  200/400 | metric=  23.375 | best=   0.000 | collisions= 1.75 | realism=0.845 | loss= 516.260 | entropy= 7.353
Update  210/400 | metric=  39.383 | best=   0.000 | collisions= 3.75 | realism=0.852 | loss= 591.308 | entropy= 7.587
Update  220/400 | metric=  28.434 | best=   0.000 | collisions= 2.12 | realism=0.889 | loss= 497.700 | entropy= 7.829
Update  230/400 | metric= 231.484 | best=   0.000 | collisions= 0.12 | realism=0.938 | loss= 784.286 | entropy= 8.068
Update  240/400 | metric=  28.750 | best=   0.000 | collisions= 2.88 | realism=0.884 | loss= 550.005 | entropy= 8.301
Update  250/400 | metric=  49.316 | best=   0.000 | collisions= 2.50 | realism=0.906 | loss= 635.875 | entropy= 8.502
Update  260/400 | metric=  19.828 | best=   0.000 | collisions= 1.62 | realism=0.823 | loss= 518.756 | entropy= 8.756
Update  270/400 | metric=   6.979 | best=   0.000 | collisions= 0.38 | realism=0.804 | loss= 536.710 | entropy= 8.954
Update  280/400 | metric=  19.660 | best=   0.000 | collisions= 1.38 | realism=0.838 | loss= 912.325 | entropy= 9.196
Update  290/400 | metric=  10.709 | best=   0.000 | collisions= 1.00 | realism=0.785 | loss= 460.836 | entropy= 9.463
Update  300/400 | metric= 127.098 | best=   0.000 | collisions= 1.62 | realism=0.877 | loss=1210.323 | entropy= 9.701
Update  310/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.838 | loss= 399.441 | entropy= 9.939
Update  320/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.874 | loss= 826.310 | entropy=10.302
Update  330/400 | metric=   2.487 | best=   0.000 | collisions= 0.12 | realism=0.789 | loss= 358.436 | entropy=10.511
Update  340/400 | metric=  64.632 | best=   0.000 | collisions= 0.50 | realism=0.836 | loss= 650.104 | entropy=10.771
Update  350/400 | metric=  52.642 | best=   0.000 | collisions= 1.38 | realism=0.883 | loss= 442.920 | entropy=11.018
Update  360/400 | metric= 180.087 | best=   0.000 | collisions= 3.38 | realism=0.966 | loss= 780.272 | entropy=11.295
Update  370/400 | metric=  15.000 | best=   0.000 | collisions= 1.50 | realism=0.865 | loss= 457.355 | entropy=11.369
Update  380/400 | metric=   8.750 | best=   0.000 | collisions= 0.88 | realism=0.804 | loss= 418.307 | entropy=11.596
Update  390/400 | metric=  10.160 | best=   0.000 | collisions= 0.50 | realism=0.806 | loss= 531.024 | entropy=11.738
Update  400/400 | metric=   8.750 | best=   0.000 | collisions= 0.88 | realism=0.855 | loss= 362.001 | entropy=11.982
Saved PPO residual policy to RL\checkpoints\residual_policy_seed1.pt
