Using robust utility params from C:\Users\Pedram\NR-MAP\Calibration\utility_calibration.json
Behavioral data term: band=0.10, shaping=0.50
Utility-only baseline metric over 5 episodes: 9.119
Update    1/400 | metric=   4.236 | best=   4.236 | collisions= 0.00 | realism=0.727 | loss=2728.791 | entropy= 2.155
Update   10/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.805 | loss=2584.202 | entropy= 2.885
Update   20/400 | metric=   2.737 | best=   0.000 | collisions= 0.00 | realism=0.761 | loss=2685.652 | entropy= 3.498
Update   30/400 | metric=  10.928 | best=   0.000 | collisions= 0.00 | realism=0.783 | loss=1834.239 | entropy= 3.732
Update   40/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.814 | loss=1635.102 | entropy= 4.107
Update   50/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.779 | loss=2049.001 | entropy= 4.400
Update   60/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.770 | loss=1406.339 | entropy= 4.716
Update   70/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.765 | loss=1367.727 | entropy= 4.997
Update   80/400 | metric=   2.442 | best=   0.000 | collisions= 0.12 | realism=0.769 | loss=1111.438 | entropy= 5.244
Update   90/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.804 | loss= 954.037 | entropy= 5.468
Update  100/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.792 | loss= 949.627 | entropy= 5.684
Update  110/400 | metric=   7.026 | best=   0.000 | collisions= 0.12 | realism=0.755 | loss= 774.757 | entropy= 5.902
Update  120/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.813 | loss=1112.104 | entropy= 6.098
Update  130/400 | metric=   2.755 | best=   0.000 | collisions= 0.12 | realism=0.753 | loss= 758.677 | entropy= 6.260
Update  140/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.760 | loss= 929.651 | entropy= 6.399
Update  150/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.791 | loss= 360.708 | entropy= 6.647
Update  160/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.722 | loss= 638.640 | entropy= 6.817
Update  170/400 | metric=   6.101 | best=   0.000 | collisions= 0.12 | realism=0.762 | loss= 502.160 | entropy= 7.061
Update  180/400 | metric=   4.917 | best=   0.000 | collisions= 0.12 | realism=0.765 | loss= 668.319 | entropy= 7.293
Update  190/400 | metric=   1.888 | best=   0.000 | collisions= 0.00 | realism=0.789 | loss= 758.506 | entropy= 7.557
Update  200/400 | metric=   4.632 | best=   0.000 | collisions= 0.12 | realism=0.782 | loss= 825.302 | entropy= 7.749
Update  210/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.765 | loss= 281.273 | entropy= 7.993
Update  220/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.793 | loss= 171.297 | entropy= 8.261
Update  230/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.775 | loss= 352.257 | entropy= 8.513
Update  240/400 | metric=   9.283 | best=   0.000 | collisions= 0.75 | realism=0.803 | loss= 309.647 | entropy= 8.763
Update  250/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.715 | loss= 261.180 | entropy= 9.012
Update  260/400 | metric=   2.200 | best=   0.000 | collisions= 0.12 | realism=0.818 | loss= 176.485 | entropy= 9.206
Update  270/400 | metric=   7.464 | best=   0.000 | collisions= 0.00 | realism=0.760 | loss= 324.713 | entropy= 9.395
Update  280/400 | metric=   8.750 | best=   0.000 | collisions= 0.88 | realism=0.773 | loss= 282.712 | entropy= 9.628
Update  290/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.812 | loss= 427.453 | entropy= 9.832
Update  300/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.768 | loss= 183.717 | entropy=10.126
Update  310/400 | metric=   5.000 | best=   0.000 | collisions= 0.50 | realism=0.788 | loss= 493.342 | entropy=10.347
Update  320/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.732 | loss= 228.101 | entropy=10.591
Update  330/400 | metric=   3.750 | best=   0.000 | collisions= 0.38 | realism=0.765 | loss= 251.099 | entropy=10.793
Update  340/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.752 | loss= 269.118 | entropy=11.029
Update  350/400 | metric=   6.236 | best=   0.000 | collisions= 0.25 | realism=0.824 | loss= 245.595 | entropy=11.306
Update  360/400 | metric=   2.500 | best=   0.000 | collisions= 0.25 | realism=0.749 | loss= 254.126 | entropy=11.466
Update  370/400 | metric=   1.250 | best=   0.000 | collisions= 0.12 | realism=0.775 | loss= 174.117 | entropy=11.723
Update  380/400 | metric=   6.769 | best=   0.000 | collisions= 0.50 | realism=0.829 | loss= 270.343 | entropy=11.945
Update  390/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.781 | loss= 361.742 | entropy=12.137
Update  400/400 | metric=   0.000 | best=   0.000 | collisions= 0.00 | realism=0.797 | loss= 391.537 | entropy=12.330
Saved PPO residual policy to RL\checkpoints\residual_policy_seed2.pt
